,location_name,from,to,from_lat_long,to_lat_long
628,On W 91st St From S Laflin St To S Bishop St,W 91st St And S Laflin St,W 91st St And S Bishop St,"[41.72855, -87.660391]","[41.728574, -87.659197]"
629,On W 70th St From S Justine St To S Bishop St,W 70th St And S Justine St,W 70th St And S Bishop St,"[41.766755, -87.662681]","[41.766794, -87.660249]"
630,On W 64th St From S Damen Ave To S Paulina St,W 64th St And S Damen Ave,W 64th St And S Paulina St,"[41.777531, -87.673858]","[41.7776292, -87.6666575]"
631,On W 46th St From S Harding Ave To S Hamlin Ave,W 46th St And S Harding Ave,W 46th St And S Hamlin Ave,"[41.8097244, -87.7224348]","[41.8097519, -87.7187114]"
632,On W 18th St From S Racine Ave To S Throop St,W 18th St And S Racine Ave,W 18th St And S Throop St,"[41.857971, -87.656436]","[41.857935, -87.658881]"
633,On W 17th St From S Laflin St To S Ashland Ave,W 17th St And S Laflin St,W 17th St And S Ashland Ave,"[41.858753, -87.663774]","[41.85871, -87.666256]"
634,On W 117th St From S Watkins Ave To S Church St,W 117th St And S Watkins Ave,W 117th St And S Church St,"[41.681216, -87.668388]","[41.681954, -87.670627]"
635,5400-5482 S Ridgewood Ct,5400 S Ridgewood Ct,5482 S Ridgewood Ct,"[41.79789683576531, -87.5926739233341]","[41.7956927, -87.5928894]"
636,On S Longwood Dr From W 119th St To W 116th St,S Longwood Dr And W 119th St,S Longwood Dr And W 116th St,"[41.67728, -87.675225]","[41.682878, -87.674099]"
637,On W 115th St From S St Louis Ave To S Homan Ave,W 115th St And S St Louis Ave,W 115th St And S Homan Ave,"[41.68416, -87.707874]","[41.684193, -87.705427]"
638,On E 87th St From S Constance Ave To S Euclid Ave,E 87th St And S Constance Ave,E 87th St And S Euclid Ave,"[41.736999, -87.579361]","[41.737033, -87.576951]"
639,On N Hamlin Ave From W Addison St To W Cornelia Ave,N Hamlin Ave And W Addison St,N Hamlin Ave And W Cornelia Ave,"[41.9464643, -87.7225141]","[41.944601, -87.722454]"
640,On N Kilpatrick Ave From W Chicago Ave To W Augusta Blvd,N Kilpatrick Ave And W Chicago Ave,N Kilpatrick Ave And W Augusta Blvd,"[41.895072, -87.743519]","[41.898767, -87.743586]"
641,On N Mulligan Ave From W Grand Ave To W Palmer St,N Mulligan Ave And W Grand Ave,N Mulligan Ave And W Palmer St,"[41.9222862, -87.7841795]","[41.920319, -87.7841321]"
642,On N Paulina St From W Montrose Ave To W Cullom Ave,N Paulina St And W Montrose Ave,N Paulina St And W Cullom Ave,"[41.961589, -87.670822]","[41.959754, -87.670764]"
643,On N Meade Ave From W Addison St To W Cornelia Ave,N Meade Ave And W Addison St,N Meade Ave And W Cornelia Ave,"[41.9457438, -87.7789381]","[41.943924, -87.778841]"
644,On N Sedgwick St From W Chicago Ave To W Oak St,N Sedgwick St And W Chicago Ave,N Sedgwick St And W Oak St,"[41.896551, -87.638671]","[41.900479, -87.638858]"
645,On N Whipple St From W Berteau Ave To W Belle Plaine Ave,N Whipple St And W Berteau Ave,N Whipple St And W Belle Plaine Ave,"[41.957571, -87.704482]","[41.955762, -87.70442]"
646,On S Christiana Ave From W 82nd St To W 83rd St,S Christiana Ave And W 82nd St,S Christiana Ave And W 83rd St,"[41.7442662, -87.705902]","[41.742455, -87.7058429]"
647,On S Constance Ave From E 87th St To E 90th St,S Constance Ave And E 87th St,S Constance Ave And E 90th St,"[41.736999, -87.579361]","[41.731547, -87.579237]"
648,On S Genoa Ave From W 98th St To W 96th St,S Genoa Ave And W 98th St,S Genoa Ave And W 96th St,"[41.715811, -87.651374]","[41.719245, -87.650105]"
649,On N Rockwell St From W Berwyn Ave To W Foster Ave,N Rockwell St And W Berwyn Ave,N Rockwell St And W Foster Ave,"[41.977672, -87.69412]","[41.975853, -87.694081]"
650,On W 87th St From S Winchester Ave To S Honore St,W 87th St And S Winchester Ave,W 87th St And S Honore St,"[41.7354107, -87.6709497]","[41.735747, -87.669171]"
651,On W 18th St From S Loomis St To S Throop St,W 18th St And S Loomis St,W 18th St And S Throop St,"[41.857895, -87.661144]","[41.857935, -87.658881]"
652,On W 25th St From S Pulaski Rd To S Avers Ave,W 25th St And S Pulaski Rd,W 25th St And S Avers Ave,"[41.84608, -87.724605]","[41.846139, -87.720924]"
653,On W 58th St From S Damen Ave To S Hoyne Ave,W 58th St And S Damen Ave,W 58th St And S Hoyne Ave,"[41.78848, -87.67415]","[41.788455, -87.676595]"
654,On W 70th St From S Ashland Ave To S Justine St,W 70th St And S Ashland Ave,W 70th St And S Justine St,"[41.766374, -87.691865]","[41.766755, -87.662681]"
655,On W 96th St From S Genoa Ave To S Carpenter St,W 96th St And S Genoa Ave,W 96th St And S Carpenter St,"[41.719245, -87.650105]","[41.719252, -87.649227]"
656,On W Belle Plaine Ave From N Sacramento Ave To N Richmond St,W Belle Plaine Ave And N Sacramento Ave,W Belle Plaine Ave And N Richmond St,"[41.955763, -87.703187]","[41.95577, -87.701966]"
657,On W Belle Plaine Ave From N Whipple St To N Albany Ave,W Belle Plaine Ave And N Whipple St,W Belle Plaine Ave And N Albany Ave,"[41.955762, -87.70442]","[41.955766, -87.705628]"
658,On W Cullerton St From S Loomis St To S Throop St,W Cullerton St And S Loomis St,W Cullerton St And S Throop St,"[41.8551601, -87.6612441]","[41.855186, -87.658781]"
659,On W Palmer St From N Mulligan Ave To N Natchez Ave,W Palmer St And N Mulligan Ave,W Palmer St And N Natchez Ave,"[41.920319, -87.7841321]","[41.9200271, -87.7877349]"
661,On W 123rd St From S Carpenter St To S Peoria St,W 123rd St And S Carpenter St,W 123rd St And S Peoria St,"[41.670445, -87.647756]","[41.6705106, -87.6440745]"
662,On W Belle Plaine Ave From N Albany Ave To N Troy St,W Belle Plaine Ave And N Albany Ave,W Belle Plaine Ave And N Troy St,"[41.955766, -87.705628]","[41.955759, -87.706844]"
663,On W 116th Pl From S Western Ave To S Bell Ave,W 116th Pl And S Western Ave,W 116th Pl And S Bell Ave,"[41.681583, -87.68076]","[41.682412, -87.677369]"
664,On N Rockwell St From W Berwyn Ave To W Summerdale Ave,N Rockwell St And W Berwyn Ave,N Rockwell St And W Summerdale Ave,"[41.977672, -87.69412]","[41.9785725, -87.6941491]"
665,On S Langley Ave From E 69th St To E 67th St,S Langley Ave And E 69th St,S Langley Ave And E 67th St,"[41.7694538, -87.6081473]","[41.773078, -87.608196]"
667,On E 88th St From S Constance Ave To S Euclid Ave,E 88th St And S Constance Ave,E 88th St And S Euclid Ave,"[41.73521, -87.57932]","[41.735217, -87.576897]"
668,On N Hudson Ave From W Chicago Ave To W Oak St,N Hudson Ave And W Chicago Ave,N Hudson Ave And W Oak St,"[41.896576, -87.639902]","[41.9004555, -87.6400528]"
669,On N Marmora Ave From W Addison St To W Newport Ave,N Marmora Ave And W Addison St,N Marmora Ave And W Newport Ave,"[41.945807, -87.774042]","[41.943056, -87.77393]"
670,On S Wolcott Ave From W 77th St To W 78th St,S Wolcott Ave And W 77th St,S Wolcott Ave And W 78th St,"[41.753942, -87.670814]","[41.752071, -87.670768]"
671,On N Meade Ave From W Belmont Ave To W Henderson St,N Meade Ave And W Belmont Ave,N Meade Ave And W Henderson St,"[41.93843, -87.778616]","[41.941169, -87.778739]"
672,On N Ridgeway Ave From W Berteau Ave To N Elston Ave,N Ridgeway Ave And W Berteau Ave,N Ridgeway Ave And N Elston Ave,"[41.9573876, -87.7216032]","[41.955333, -87.721529]"
673,On N Washtenaw Ave From W Berwyn Ave To W Foster Ave,N Washtenaw Ave And W Berwyn Ave,N Washtenaw Ave And W Foster Ave,"[41.977669, -87.696562]","[41.975846, -87.69649]"
674,On S Bishop St From W 92nd St To W 91st St,S Bishop St And W 92nd St,S Bishop St And W 91st St,"[41.726753, -87.659207]","[41.728574, -87.659197]"
675,On S Harding Ave From W 47th St To W 46th St,S Harding Ave And W 47th St,S Harding Ave And W 46th St,"[41.807909, -87.722373]","[41.8097244, -87.7224348]"
676,On N Olcott Ave From W Palatine Ave To W Devon Ave,N Olcott Ave And W Palatine Ave,N Olcott Ave And W Devon Ave,"[41.9954616, -87.8136394]","[41.997074, -87.813567]"
677,2232-2400 W 116th St,2232 W 116th St,2400 W 116th St,"[41.68276198750201, -87.68183757362848]","[41.68275198359709, -87.68246097388396]"
678,On S St Louis Ave From W 81st Pl To W Columbus Ave,S St Louis Ave And W 81st Pl,S St Louis Ave And W Columbus Ave,"[41.74515, -87.709606]","[41.745012, -87.709608]"
680,On S Emerald Ave From W 75th St To W 79th St,S Emerald Ave And W 75th St,S Emerald Ave And W 79th St,"[41.757845, -87.643019]","[41.750643, -87.64284]"
681,On N Keystone Ave From W Peterson Ave To W Glenlake Ave,N Keystone Ave And W Peterson Ave,N Keystone Ave And W Glenlake Ave,"[41.9901223, -87.7300677]","[41.991817, -87.730092]"
682,On W Byron St From N Newcastle Ave To N New England Ave,W Byron St And N Newcastle Ave,W Byron St And N New England Ave,"[41.950912, -87.797387]","[41.95089, -87.798606]"
683,On W Barry Ave From N Osceola Ave To N Oketo Ave,W Barry Ave And N Osceola Ave,W Barry Ave And N Oketo Ave,"[41.936227, -87.812764]","[41.936254, -87.811541]"
684,On W Barry Ave From N Olcott Ave To N Osceola Ave,W Barry Ave And N Olcott Ave,W Barry Ave And N Osceola Ave,"[41.936209, -87.81398]","[41.936227, -87.812764]"
685,On W 57th St From S Spaulding Ave To S Homan Ave,W 57th St And S Spaulding Ave,W 57th St And S Homan Ave,"[41.7898516, -87.7058869]","[41.7897916, -87.7083438]"
686,On S Kostner Ave From W 51st St To W 52nd St,S Kostner Ave And W 51st St,S Kostner Ave And W 52nd St,"[41.800465, -87.73314]","[41.798634, -87.733069]"
687,On N Olcott Ave From W Palatine Ave To W Hortense Ave,N Olcott Ave And W Palatine Ave,N Olcott Ave And W Hortense Ave,"[41.9954616, -87.8136394]","[41.9964367, -87.813594]"
688,On N Olcott Ave From W Devon Ave To W Isham Ave,N Olcott Ave And W Devon Ave,N Olcott Ave And W Isham Ave,"[41.997074, -87.813567]","[41.997982, -87.813591]"
689,On N Oketo Ave From W Isham Ave To N Avondale Ave,N Oketo Ave And W Isham Ave,N Oketo Ave And N Avondale Ave,"[41.997982, -87.813591]","[41.998678, -87.813093]"
690,On N Nordica Ave From W Berwyn Ave To W Farragut Ave,N Nordica Ave And W Berwyn Ave,N Nordica Ave And W Farragut Ave,"[41.9771064, -87.8023918]","[41.9763358, -87.802417]"
691,On W 52nd St From S Kostner Ave To S Keeler Ave,W 52nd St And S Kostner Ave,W 52nd St And S Keeler Ave,"[41.798634, -87.733069]","[41.7986526, -87.7281637]"
692,On W Byron St From N Newcastle Ave To N Oak Park Ave,W Byron St And N Newcastle Ave,W Byron St And N Oak Park Ave,"[41.950912, -87.797387]","[41.950354, -87.79615]"
693,On W Berwyn Ave From N Nordica Ave To N Newland Ave,W Berwyn Ave And N Nordica Ave,W Berwyn Ave And N Newland Ave,"[41.9771064, -87.8023918]","[41.9771587, -87.7997174]"
694,On W Barry Ave From N Oleander Ave To N Oriole Ave,W Barry Ave And N Oleander Ave,W Barry Ave And N Oriole Ave,"[41.93618, -87.815211]","[41.936138, -87.816424]"
695,On W Barry Ave From N Olcott Ave To N Oleander Ave,W Barry Ave And N Olcott Ave,W Barry Ave And N Oleander Ave,"[41.936209, -87.81398]","[41.93618, -87.815211]"
696,On W 57th St From S Kedzie Ave To S Spaulding Ave,W 57th St And S Kedzie Ave,W 57th St And S Spaulding Ave,"[41.789905, -87.703442]","[41.7898516, -87.7058869]"
697,On N Olcott Ave From W Hortense Ave To W Devon Ave,N Olcott Ave And W Hortense Ave,N Olcott Ave And W Devon Ave,"[41.9964367, -87.813594]","[41.997074, -87.813567]"
698,On N Pulaski Rd From W Glenlake Ave To W Granville Ave,N Pulaski Rd And W Glenlake Ave,N Pulaski Rd And W Granville Ave,"[41.9919118, -87.7288764]","[41.9936859, -87.7288906]"
699,On N Olcott Ave From W Belmont Ave To W Barry Ave,N Olcott Ave And W Belmont Ave,N Olcott Ave And W Barry Ave,"[41.937977, -87.814048]","[41.936209, -87.81398]"
700,On N Oak Park Ave From W Byron St To W Dakin St,N Oak Park Ave And W Byron St,N Oak Park Ave And W Dakin St,"[41.950938, -87.796171]","[41.951549, -87.796191]"
701,On N Newcastle Ave From W Grace St To W Byron St,N Newcastle Ave And W Grace St,N Newcastle Ave And W Byron St,"[41.949093, -87.797316]","[41.950912, -87.797387]"
702,On W Glenlake Ave From N Keystone Ave To N Pulaski Rd,W Glenlake Ave And N Keystone Ave,W Glenlake Ave And N Pulaski Rd,"[41.991817, -87.730092]","[41.9919118, -87.7288764]"
703,On W 51st St From S Kilbourn Ave To S Kostner Ave,W 51st St And S Kilbourn Ave,W 51st St And S Kostner Ave,"[41.8004282, -87.7355934]","[41.800465, -87.73314]"
705,On N Neva Ave From W Bryn Mawr Ave To W Talcott Ave,N Neva Ave And W Bryn Mawr Ave,N Neva Ave And W Talcott Ave,"[41.982741, -87.805353]","[41.985043, -87.805246]"
706,On W Talcott Ave From N Neva Ave To N Ozanam Ave,W Talcott Ave And N Neva Ave,W Talcott Ave And N Ozanam Ave,"[41.985043, -87.805246]","[41.99274, -87.820869]"
708,On W Talcott Ave From N Harlem Ave To N Ozanam Ave,W Talcott Ave And N Harlem Ave,W Talcott Ave And N Ozanam Ave,"[41.985822, -87.806927]","[41.99274, -87.820869]"
709,On W Talcott Ave From N Overhill Ave To N Oriole Ave,W Talcott Ave And N Overhill Ave,W Talcott Ave And N Oriole Ave,"[41.991881500000005, -87.81916899999999]","[41.990648, -87.816748]"
710,On E 93rd St From S Drexel Ave To S Ellis Ave,E 93rd St And S Drexel Ave,E 93rd St And S Ellis Ave,"[41.725759, -87.600936]","[41.725776, -87.599733]"
711,On S Drexel Ave From E 90th St To E 93rd St,S Drexel Ave And E 90th St,S Drexel Ave And E 93rd St,"[41.7312076, -87.6006995]","[41.725759, -87.600936]"
712,On W 57th St From S La Salle St To S Lafayette Ave,W 57th St And S La Salle St,W 57th St And S Lafayette Ave,"[41.790945, -87.629208]","[41.790981, -87.6267179]"
713,5600-5659 S Perry Ave,5600 S Perry Ave,5659 S Perry Ave,"[41.792736, -87.628039]","[41.79164394801173, -87.62767889045112]"
714,5600-5659 S Lafayette Ave,5600 S Lafayette Ave,5659 S Lafayette Ave,"[41.792752, -87.627044]","[41.7931600995176, -87.62669193348832]"
715,On E 106th St From S Vernon Ave To S Rhodes Ave,E 106th St And S Vernon Ave,E 106th St And S Rhodes Ave,"[41.701846, -87.612414]","[41.701881, -87.609959]"
716,On S Eberhart Ave From E 106th St To E 105th St,S Eberhart Ave And E 106th St,S Eberhart Ave And E 105th St,"[41.701846, -87.611173]","[41.703685, -87.611243]"
717,On S Rhodes Ave From E 106th St To E 105th Pl,S Rhodes Ave And E 106th St,S Rhodes Ave And E 105th Pl,"[41.701881, -87.609959]","[41.7027843, -87.6099824]"
718,On S Vernon Ave From E 107th St To E 106th St,S Vernon Ave And E 107th St,S Vernon Ave And E 106th St,"[41.700026, -87.612345]","[41.701846, -87.612414]"
719,On E 108th St From S Eberhart Ave To S Rhodes Ave,E 108th St And S Eberhart Ave,E 108th St And S Rhodes Ave,"[41.698216, -87.611076]","[41.698244, -87.609853]"
720,On S Eberhart Ave From E 107th St To E 108th St,S Eberhart Ave And E 107th St,S Eberhart Ave And E 108th St,"[41.700044, -87.611131]","[41.698216, -87.611076]"
721,On S Vernon Ave From E 106th St To E 105th St,S Vernon Ave And E 106th St,S Vernon Ave And E 105th St,"[41.701846, -87.612414]","[41.703668, -87.612454]"
722,On W 107th St From S Wood St To S Hale Ave,W 107th St And S Wood St,W 107th St And S Hale Ave,"[41.699304, -87.666902]","[41.6992536, -87.6695405]"
723,10600-10700 S Hale Ave,10600 S Hale Ave,10700 S Hale Ave,"[41.701310561067885, -87.66932127788428]","[41.69894193019143, -87.66904869154084]"
724,On S Eggleston Ave From W 124th St To W 126th St,S Eggleston Ave And W 124th St,S Eggleston Ave And W 126th St,"[41.668803, -87.63319]","[41.665163, -87.633003]"
725,On W 125th St From S Parnell Ave To S Wentworth Ave,W 125th St And S Parnell Ave,W 125th St And S Wentworth Ave,"[41.6669049, -87.6364202]","[41.667055, -87.627123]"
726,On W 124th St From S Parnell Ave To S Eggleston Ave,W 124th St And S Parnell Ave,W 124th St And S Eggleston Ave,"[41.668773, -87.635609]","[41.668803, -87.63319]"
727,On W 125th St From S Wentworth Ave To S Harvard Ave,W 125th St And S Wentworth Ave,W 125th St And S Harvard Ave,"[41.667055, -87.627123]","[41.667035, -87.630722]"
728,On N Central Ave From W Berteau Ave To W Sunnyside Ave,N Central Ave And W Berteau Ave,N Central Ave And W Sunnyside Ave,"[41.9568465, -87.7670961]","[41.962368, -87.767271]"
730,On N Central Ave From W Berteau Ave To W Wilson Ave,N Central Ave And W Berteau Ave,N Central Ave And W Wilson Ave,"[41.9568465, -87.7670961]","[41.964583, -87.767348]"
731,On S Bishop St From W 116th St To W 118th St,S Bishop St And W 116th St,S Bishop St And W 118th St,"[41.683051, -87.657893]","[41.6794067, -87.6577913]"
732,On W 116th St From S Bishop St To S Ada St,W 116th St And S Bishop St,W 116th St And S Ada St,"[41.683051, -87.657893]","[41.68308, -87.655486]"
733,On W 118th St From S Bishop St To S Justine St,W 118th St And S Bishop St,W 118th St And S Justine St,"[41.6794067, -87.6577913]","[41.679375, -87.66025]"
734,On W 116th St From S Ada St To S Elizabeth St,W 116th St And S Ada St,W 116th St And S Elizabeth St,"[41.68308, -87.655486]","[41.683115, -87.653049]"
735,On W 116th St From S Bishop St To S Justine St,W 116th St And S Bishop St,W 116th St And S Justine St,"[41.683051, -87.657893]","[41.683022, -87.660347]"
736,On W 43rd St From S Drake Ave To S Kedzie Ave,W 43rd St And S Drake Ave,W 43rd St And S Kedzie Ave,"[41.81524255, -87.7126583]","[41.815422, -87.7042608]"
737,On S Wentworth Ave From W 76th St To W 75th St,S Wentworth Ave And W 76th St,S Wentworth Ave And W 75th St,"[41.75634, -87.629594]","[41.758167, -87.629628]"
738,On W 76th St From S Stewart Ave To S Wentworth Ave,W 76th St And S Stewart Ave,W 76th St And S Wentworth Ave,"[41.756256, -87.634442]","[41.75634, -87.629594]"
739,On W 76th St From S Perry Ave To S Lafayette Ave,W 76th St And S Perry Ave,W 76th St And S Lafayette Ave,"[41.756355, -87.627951]","[41.756313, -87.626329]"
741,On S Honore St From W 88th St To W 87th St,S Honore St And W 88th St,S Honore St And W 87th St,"[41.733931, -87.669087]","[41.735747, -87.669171]"
746,On N Sheridan Rd From W Birchwood Ave To W Devon Ave,N Sheridan Rd And W Birchwood Ave,N Sheridan Rd And W Devon Ave,"[42.018218, -87.665768]","[41.9981901, -87.6606673]"
747,On W Thorndale Ave From N Sheridan Rd To N Glenwood Ave,W Thorndale Ave And N Sheridan Rd,W Thorndale Ave And N Glenwood Ave,"[41.9901119, -87.6553792]","[41.9899626, -87.6651244]"
748,On E 69th St From S Anthony Ave To S Vernon Ave,E 69th St And S Anthony Ave,E 69th St And S Vernon Ave,"[41.769457, -87.613674]","[41.769347, -87.61415]"
749,On N Milwaukee Ave From W Catalpa Ave To W Farragut Ave,N Milwaukee Ave And W Catalpa Ave,N Milwaukee Ave And W Farragut Ave,"[41.9810422, -87.7726298]","[41.9765241, -87.76845825000001]"
750,On N Mobile Ave From W Gunnison St To W Argyle St,N Mobile Ave And W Gunnison St,N Mobile Ave And W Argyle St,"[41.9684404, -87.7855899]","[41.9719983, -87.7855409]"
751,On N Mulligan Ave From W Peterson Ave To N Northwest Hwy,N Mulligan Ave And W Peterson Ave,N Mulligan Ave And N Northwest Hwy,"[41.9901298, -87.7863902]","[41.985273, -87.786537]"
752,On N New England Ave From W Belmont Ave To W Wellington Ave,N New England Ave And W Belmont Ave,N New England Ave And W Wellington Ave,"[41.938127, -87.798125]","[41.9345001, -87.7980333]"
753,On N Newcastle Ave From W Belmont Ave To W Wellington Ave,N Newcastle Ave And W Belmont Ave,N Newcastle Ave And W Wellington Ave,"[41.938148, -87.796894]","[41.934512, -87.796794]"
754,On N Newland Ave From W Dickens Ave To W Armitage Ave,N Newland Ave And W Dickens Ave,N Newland Ave And W Armitage Ave,"[41.9181208, -87.7987359]","[41.9163042, -87.7986731]"
