,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long
3687,[170 -02] 37793,On W Belle Plaine Ave From N Whipple St To N Sacramento Ave,2014-2018,W Belle Plaine Ave And N Whipple St,W Belle Plaine Ave And N Sacramento Ave,"[41.955762, -87.70442]","[41.955763, -87.703187]"
3688,[170 -02] 37793,On W Belle Plaine Ave From N Sacramento Ave To N Richmond St,2014-2018,W Belle Plaine Ave And N Sacramento Ave,W Belle Plaine Ave And N Richmond St,"[41.955763, -87.703187]","[41.95577, -87.701966]"
3689,[170 -02] 37793,On W Altgeld St From N Sawyer Ave To N Kedzie Blvd,2014-2018,W Altgeld St And N Sawyer Ave,W Altgeld St And N Kedzie Blvd,"[41.926529, -87.709329]","[41.926533, -87.707606]"
3690,[170 -02] 37793,On W 64th St From S Damen Ave To S Paulina St,2014-2018,W 64th St And S Damen Ave,W 64th St And S Paulina St,"[41.777531, -87.673858]","[41.7776292, -87.6666575]"
3691,[170 -02] 37793,On W 46th St From S Harding Ave To S Hamlin Ave,2014-2018,W 46th St And S Harding Ave,W 46th St And S Hamlin Ave,"[41.8097244, -87.7224348]","[41.8097519, -87.7187114]"
3692,[170 -02] 37793,On W 18th St From S Loomis St To S Throop St,2014-2018,W 18th St And S Loomis St,W 18th St And S Throop St,"[41.857895, -87.661144]","[41.857935, -87.658881]"
3693,[170 -02] 37793,On W 117th St From S Watkins Ave To S Church St,2014-2018,W 117th St And S Watkins Ave,W 117th St And S Church St,"[41.681216, -87.668388]","[41.681954, -87.670627]"
3694,[170 -02] 37793,On W 87th St From S Winchester Ave To S Honore St,2014-2018,W 87th St And S Winchester Ave,W 87th St And S Honore St,"[41.735724, -87.670975]","[41.735654, -87.669165]"
3695,[170 -02] 37793,On S Langley Ave From E 69th St To E 67th St,2014-2018,S Langley Ave And E 69th St,S Langley Ave And E 67th St,"[41.7694538, -87.6081473]","[41.773078, -87.608196]"
3696,[170 -02] 37793,On S Wolcott Ave From W 77th St To W 78th St,2014-2018,S Wolcott Ave And W 77th St,S Wolcott Ave And W 78th St,"[41.753942, -87.670814]","[41.752071, -87.670768]"
3697,[170 -02] 37793,On E 88th St From S Constance Ave To S Euclid Ave,2014-2018,E 88th St And S Constance Ave,E 88th St And S Euclid Ave,"[41.73521, -87.57932]","[41.735217, -87.576897]"
3698,[170 -02] 37793,On N Kilpatrick Ave From W Chicago Ave To W Augusta Blvd,2014-2018,N Kilpatrick Ave And W Chicago Ave,N Kilpatrick Ave And W Augusta Blvd,"[41.895072, -87.743519]","[41.898767, -87.743586]"
3699,[170 -02] 37793,On N Meade Ave From W Belmont Ave To W Henderson St,2014-2018,N Meade Ave And W Belmont Ave,N Meade Ave And W Henderson St,"[41.93843, -87.778616]","[41.941169, -87.778739]"
3700,[170 -02] 37793,On N Paulina St From W Montrose Ave To W Cullom Ave,2014-2018,N Paulina St And W Montrose Ave,N Paulina St And W Cullom Ave,"[41.961589, -87.670822]","[41.959754, -87.670764]"
3701,[170 -02] 37793,On E 75th St From S Langley Ave To S Cottage Grove Ave,2014-2018,E 75th St And S Langley Ave,E 75th St And S Cottage Grove Ave,"[41.758519, -87.607855]","[41.75857, -87.605404]"
3702,[170 -02] 37793,On N Whipple St From W Berteau Ave To W Belle Plaine Ave,2014-2018,N Whipple St And W Berteau Ave,N Whipple St And W Belle Plaine Ave,"[41.957571, -87.704482]","[41.955762, -87.70442]"
3703,[170 -02] 37793,On S Colfax Ave From E 74th St To E 75th St,2014-2018,S Colfax Ave And E 74th St,S Colfax Ave And E 75th St,"[41.760847, -87.562493]","[41.7590531, -87.5615821]"
3704,[170 -02] 37793,On S Genoa Ave From W 98th St To W 96th St,2014-2018,S Genoa Ave And W 98th St,S Genoa Ave And W 96th St,"[41.715811, -87.651374]","[41.719245, -87.650105]"
3705,[170 -02] 37793,On N Rockwell St From W Berwyn Ave To W Summerdale Ave,2014-2018,N Rockwell St And W Berwyn Ave,N Rockwell St And W Summerdale Ave,"[41.977672, -87.69412]","[41.9785725, -87.6941491]"
3706,[170 -02] 37793,On W 18th St From S Racine Ave To S Throop St,2014-2018,W 18th St And S Racine Ave,W 18th St And S Throop St,"[41.857971, -87.656436]","[41.857935, -87.658881]"
3707,[170 -02] 37793,W 116th St And S Western Ave,2014-2018,W 116th St And S Western Ave,,"[41.682726, -87.680803]",
3708,[170 -02] 37793,S Hermitage Ave And W 88th St,2014-2018,S Hermitage Ave And W 88th St,,"[41.733911, -87.66668]",
3709,[170 -02] 37793,E 54th Pl And S Dorchester Ave,2014-2018,E 54th Pl And S Dorchester Ave,,"[41.796587, -87.5917014]",
3710,[170 -02] 37793,On W Cullerton St From S Loomis St To S Throop St,2014-2018,W Cullerton St And S Loomis St,W Cullerton St And S Throop St,"[41.8551601, -87.6612441]","[41.855186, -87.658781]"
3711,[170 -02] 37793,On W Belle Plaine Ave From N Troy St To N Kedzie Ave,2014-2018,W Belle Plaine Ave And N Troy St,W Belle Plaine Ave And N Kedzie Ave,"[41.955759, -87.706844]","[41.955753, -87.708059]"
3712,[170 -02] 37793,On W Belle Plaine Ave From N Albany Ave To N Troy St,2014-2018,W Belle Plaine Ave And N Albany Ave,W Belle Plaine Ave And N Troy St,"[41.955766, -87.705628]","[41.955759, -87.706844]"
3713,[170 -02] 37793,On W 91st St From S Laflin St To S Bishop St,2014-2018,W 91st St And S Laflin St,W 91st St And S Bishop St,"[41.72855, -87.660391]","[41.728574, -87.659197]"
3714,[170 -02] 37793,On W 70th St From S Ashland Ave To S Justine St,2014-2018,W 70th St And S Ashland Ave,W 70th St And S Justine St,"[41.766749, -87.663802]","[41.766755, -87.662681]"
3715,[170 -02] 37793,On W 58th St From S Damen Ave To S Hoyne Ave,2014-2018,W 58th St And S Damen Ave,W 58th St And S Hoyne Ave,"[41.78848, -87.67415]","[41.788455, -87.676595]"
3716,[170 -02] 37793,On W 123rd St From S Carpenter St To S Peoria St,2014-2018,W 123rd St And S Carpenter St,W 123rd St And S Peoria St,"[41.670445, -87.647756]","[41.6705106, -87.6440745]"
3717,[170 -02] 37793,On W 115th St From S St Louis Ave To S Homan Ave,2014-2018,W 115th St And S St Louis Ave,W 115th St And S Homan Ave,"[41.68416, -87.707874]","[41.684193, -87.705427]"
3718,[170 -02] 37793,On S Longwood Dr From W 119th St To W 116th St,2014-2018,S Longwood Dr And W 119th St,S Longwood Dr And W 116th St,"[41.67728, -87.675225]","[41.682878, -87.674099]"
3719,[170 -02] 37793,On E 75th St From S Rhodes Ave To S Champlain Ave,2014-2018,E 75th St And S Rhodes Ave,E 75th St And S Champlain Ave,"[41.758454, -87.611489]","[41.758495, -87.609052]"
3720,[170 -02] 37793,On N Hamlin Ave From W Addison St To W Cornelia Ave,2014-2018,N Hamlin Ave And W Addison St,N Hamlin Ave And W Cornelia Ave,"[41.9464643, -87.7225141]","[41.944601, -87.722454]"
3721,[170 -02] 37793,On N Marmora Ave From W Addison St To W Newport Ave,2014-2018,N Marmora Ave And W Addison St,N Marmora Ave And W Newport Ave,"[41.945807, -87.774042]","[41.943056, -87.77393]"
3722,[170 -02] 37793,On N Mulligan Ave From W Grand Ave To W Palmer St,2014-2018,N Mulligan Ave And W Grand Ave,N Mulligan Ave And W Palmer St,"[41.9222862, -87.7841795]","[41.920319, -87.7841321]"
3723,[170 -02] 37793,On E 72nd St From S Phillips Ave To S Exchange Ave,2014-2018,E 72nd St And S Phillips Ave,E 72nd St And S Exchange Ave,"[41.764439, -87.565772]","[41.764481, -87.565161]"
3724,[170 -02] 37793,On N Sedgwick St From W Chicago Ave To W Oak St,2014-2018,N Sedgwick St And W Chicago Ave,N Sedgwick St And W Oak St,"[41.896554, -87.638562]","[41.88322830200195, -87.63240051269531]"
3725,[170 -02] 37793,On S Bishop St From W 92nd St To W 91st St,2014-2018,S Bishop St And W 92nd St,S Bishop St And W 91st St,"[41.726753, -87.659207]","[41.728574, -87.659197]"
3726,[170 -02] 37793,On S Constance Ave From E 87th St To E 90th St,2014-2018,S Constance Ave And E 87th St,S Constance Ave And E 90th St,"[41.736999, -87.579361]","[41.731547, -87.579237]"
3727,[170 -02] 37793,On S Harding Ave From W 47th St To W 46th St,2014-2018,S Harding Ave And W 47th St,S Harding Ave And W 46th St,"[41.807909, -87.722373]","[41.8097244, -87.7224348]"
3728,[170 -02] 37793,On N Ridgeway Ave From W Berteau Ave To N Elston Ave,2014-2018,N Ridgeway Ave And W Berteau Ave,N Ridgeway Ave And N Elston Ave,"[41.9573876, -87.7216032]","[41.955333, -87.721529]"
3729,[170 -02] 37793,On W 17th St From S Laflin St To S Ashland Ave,2014-2018,W 17th St And S Laflin St,W 17th St And S Ashland Ave,"[41.858753, -87.663774]","[41.85871, -87.666256]"
3730,[170 -02] 37793,E 54th St And S Dorchester Ave,2014-2018,E 54th St And S Dorchester Ave,,"[41.7980469, -87.5917431]",
3731,[170 -02] 37793,On W North Shore Ave From N Western Ave To N Talman Ave,2014-2018,W North Shore Ave And N Western Ave,W North Shore Ave And N Talman Ave,"[42.0032061, -87.6899863]","[42.003061, -87.696163]"
3732,[170 -02] 37793,On W Belle Plaine Ave From N Whipple St To N Albany Ave,2014-2018,W Belle Plaine Ave And N Whipple St,W Belle Plaine Ave And N Albany Ave,"[41.955762, -87.70442]","[41.955766, -87.705628]"
3733,[170 -02] 37793,On W Belle Plaine Ave From N Lawndale Ave To N Ridgeway Ave,2014-2018,W Belle Plaine Ave And N Lawndale Ave,W Belle Plaine Ave And N Ridgeway Ave,"[41.9555911, -87.7203285]","[41.955573, -87.721539]"
3734,[170 -02] 37793,On W 96th St From S Genoa Ave To S Carpenter St,2014-2018,W 96th St And S Genoa Ave,W 96th St And S Carpenter St,"[41.719245, -87.650105]","[41.719252, -87.649227]"
3735,[170 -02] 37793,On W 70th St From S Justine St To S Bishop St,2014-2018,W 70th St And S Justine St,W 70th St And S Bishop St,"[41.766755, -87.662681]","[41.766794, -87.660249]"
3736,[170 -02] 37793,On W 60th St From S Hamlin Ave To S Hale Ave,2014-2018,W 60th St And S Hamlin Ave,W 60th St And S Hale Ave,"[41.78419, -87.718014]","[41.7835276500084, -87.7637490000007]"
3737,[170 -02] 37793,On W 25th St From S Pulaski Rd To S Avers Ave,2014-2018,W 25th St And S Pulaski Rd,W 25th St And S Avers Ave,"[41.84608, -87.724605]","[41.846139, -87.720924]"
3738,[170 -02] 37793,On W 116th St From S Western Ave To S Bell Ave,2014-2018,W 116th St And S Western Ave,W 116th St And S Bell Ave,"[41.682726, -87.680803]","[41.683126, -87.677317]"
3739,[170 -02] 37793,On N Rockwell St From W Berwyn Ave To W Foster Ave,2014-2018,N Rockwell St And W Berwyn Ave,N Rockwell St And W Foster Ave,"[41.977672, -87.69412]","[41.975853, -87.694081]"
3740,[170 -02] 37793,On S Kingston Ave From E 74th St To E 75th St,2014-2018,S Kingston Ave And E 74th St,S Kingston Ave And E 75th St,"[41.76086, -87.563224]","[41.759041, -87.56274]"
3741,[170 -02] 37793,On S Evans Ave From E 74th St To E 75th St,2014-2018,S Evans Ave And E 74th St,S Evans Ave And E 75th St,"[41.760365, -87.606687]","[41.758542, -87.606638]"
3742,[170 -02] 37793,On S Christiana Ave From W 82nd St To W 83rd St,2014-2018,S Christiana Ave And W 82nd St,S Christiana Ave And W 83rd St,"[41.7442662, -87.705902]","[41.742455, -87.7058429]"
3743,[170 -02] 37793,On N Washtenaw Ave From W Berwyn Ave To W Foster Ave,2014-2018,N Washtenaw Ave And W Berwyn Ave,N Washtenaw Ave And W Foster Ave,"[41.977669, -87.696562]","[42.01914485, -87.697255550009]"
3744,[170 -02] 37793,S Marshfield Ave And W 88th St,2014-2018,S Marshfield Ave And W 88th St,,"[41.733971, -87.66427]",
3745,[170 -02] 37793,On N Olcott Ave From W Palatine Ave To W Devon Ave,2014-2018,N Olcott Ave And W Palatine Ave,N Olcott Ave And W Devon Ave,"[41.9954616, -87.8136394]","[41.997074, -87.813567]"
3746,[170 -02] 37793,On N Meade Ave From W Addison St To W Cornelia Ave,2014-2018,N Meade Ave And W Addison St,N Meade Ave And W Cornelia Ave,"[41.9457438, -87.7789381]","[41.943924, -87.778841]"
3747,[170 -02] 37793,On N Hudson Ave From W Chicago Ave To W Oak St,2014-2018,N Hudson Ave And W Chicago Ave,N Hudson Ave And W Oak St,"[41.896489, -87.640047]","[41.9004555, -87.6400528]"
3748,[170 -02] 37793,On E 87th St From S Constance Ave To S Euclid Ave,2014-2018,E 87th St And S Constance Ave,E 87th St And S Euclid Ave,"[41.736999, -87.579361]","[41.737033, -87.576951]"
3749,[170 -02] 37793,On E 75th St From S Kingston Ave To S Phillips Ave,2014-2018,E 75th St And S Kingston Ave,E 75th St And S Phillips Ave,"[41.75903, -87.563149]","[41.759008, -87.564763]"
3750,[170 -02] 37793,On S Ridgewood Ct From E 55th St To E 54th St,2014-2018,S Ridgewood Ct And E 55th St,S Ridgewood Ct And E 54th St,"[41.795604, -87.591704]","[41.7980349, -87.5926175]"
3751,[170 -02] 37793,W North Shore Ave And N Maplewood Ave,2014-2018,W North Shore Ave And N Maplewood Ave,,"[42.003106, -87.693702]",
3752,[170 -02] 37794,On E 100th St From S Avenue N To S Ewing Ave,2014-2018,E 100th St And S Avenue N,E 100th St And S Ewing Ave,"[41.713861, -87.538895]","[41.7135376, -87.535274]"
3753,[170 -02] 37794,On E 88th St From S Euclid Ave To S Bennett Ave,2014-2018,E 88th St And S Euclid Ave,E 88th St And S Bennett Ave,"[41.735217, -87.576897]","[41.735215, -87.578129]"
3754,[170 -02] 37794,On N Clybourn Ave From W Webster Ave To N Greenview Ave,2014-2018,N Clybourn Ave And W Webster Ave,N Clybourn Ave And N Greenview Ave,"[41.921633, -87.664404]","[41.922589, -87.665745]"
3755,[170 -02] 37794,On S Constance Ave From E 88th St To E 90th St,2014-2018,S Constance Ave And E 88th St,S Constance Ave And E 90th St,"[41.73521, -87.57932]","[41.731547, -87.579237]"
3756,[170 -02] 37794,On W 18th St From S Wentworth Ave To S Clark St,2014-2018,W 18th St And S Wentworth Ave,W 18th St And S Clark St,"[41.857752, -87.6318983]","[41.857787, -87.630227]"
3757,[170 -02] 37794,244-300 W 60th Pl,2014-2018,244 W 60th Pl,300 W 60th Pl,"[41.7847813, -87.6321272]","[41.784566703698765, -87.63291909295857]"
3758,[170 -02] 37794,On E 61st St From S Langley Ave To S Rhodes Ave,2014-2018,E 61st St And S Langley Ave,E 61st St And S Rhodes Ave,"[41.784003, -87.608487]","[41.7839396, -87.612074]"
3759,[170 -02] 37794,On E 99th St From S Ewing Ave To S Avenue J,2014-2018,E 99th St And S Ewing Ave,E 99th St And S Avenue J,"[41.715797, -87.535281]","[41.715841, -87.534026]"
3760,[170 -02] 37794,On S Clark St From W 18th St To W 19th St,2014-2018,S Clark St And W 18th St,S Clark St And W 19th St,"[41.857787, -87.630227]","[41.8566043, -87.6301841]"
3761,[170 -02] 37794,On S Princeton Ave From W 59th Pl To W 60th St,2014-2018,S Princeton Ave And W 59th Pl,S Princeton Ave And W 60th St,"[41.786347, -87.632804]","[41.785459, -87.63276]"
3762,[170 -02] 37794,On W Barry Ave From N Drake Ave To N Gresham Ave,2014-2018,W Barry Ave And N Drake Ave,W Barry Ave And N Gresham Ave,"[41.937429, -87.716124]","[41.937471, -87.712972]"
3763,[170 -02] 37794,On E 88th St From S East End Ave To S Constance Ave,2014-2018,E 88th St And S East End Ave,E 88th St And S Constance Ave,"[41.735135, -87.582849]","[41.73521, -87.57932]"
3764,[170 -02] 37794,On N Bernard St From W Belmont Ave To W Barry Ave,2014-2018,N Bernard St And W Belmont Ave,N Bernard St And W Barry Ave,"[41.939265, -87.713737]","[41.937466, -87.713664]"
3765,[170 -02] 37794,On S Clark St From W 21st St To S Archer Ave,2014-2018,S Clark St And W 21st St,S Clark St And S Archer Ave,"[41.6380745000001, -87.6244875000644]","[41.855159, -87.630161]"
3766,[170 -02] 37794,On S Princeton Ave From W 59th St To W 59th Pl,2014-2018,S Princeton Ave And W 59th St,S Princeton Ave And W 59th Pl,"[41.787176, -87.632821]","[41.786347, -87.632804]"
3767,[170 -02] 37794,3500-3520 N Reta Ave,2014-2018,3500 N Reta Ave,3520 N Reta Ave,"[41.945617, -87.650999]","[41.94618, -87.651012]"
3768,[170 -02] 37918,On N Keystone Ave From W Peterson Ave To W Glenlake Ave,2014-2018,N Keystone Ave And W Peterson Ave,N Keystone Ave And W Glenlake Ave,"[41.9901223, -87.7300677]","[41.991817, -87.730092]"
3769,[170 -02] 37918,On N Oak Park Ave From W Byron St To W Dakin St,2014-2018,N Oak Park Ave And W Byron St,N Oak Park Ave And W Dakin St,"[41.950938, -87.796171]","[41.951549, -87.796191]"
3770,[170 -02] 37918,On N Olcott Ave From W Devon Ave To W Isham Ave,2014-2018,N Olcott Ave And W Devon Ave,N Olcott Ave And W Isham Ave,"[41.997074, -87.813567]","[41.997982, -87.813591]"
3771,[170 -02] 37918,On N Pulaski Rd From W Glenlake Ave To W Granville Ave,2014-2018,N Pulaski Rd And W Glenlake Ave,N Pulaski Rd And W Granville Ave,"[41.9919118, -87.7288764]","[41.9936859, -87.7288906]"
3772,[170 -02] 37918,On W 52nd St From S Kostner Ave To S Keeler Ave,2014-2018,W 52nd St And S Kostner Ave,W 52nd St And S Keeler Ave,"[41.798634, -87.733069]","[41.7986526, -87.7281637]"
3773,[170 -02] 37918,On W Barry Ave From N Olcott Ave To N Oleander Ave,2014-2018,W Barry Ave And N Olcott Ave,W Barry Ave And N Oleander Ave,"[41.936209, -87.81398]","[41.93618, -87.815211]"
3774,[170 -02] 37918,On W Barry Ave From N Osceola Ave To N Oketo Ave,2014-2018,W Barry Ave And N Osceola Ave,W Barry Ave And N Oketo Ave,"[41.936227, -87.812764]","[41.936254, -87.811541]"
3775,[170 -02] 37918,On W Byron St From N Newcastle Ave To N Oak Park Ave,2014-2018,W Byron St And N Newcastle Ave,W Byron St And N Oak Park Ave,"[41.950912, -87.797387]","[41.950354, -87.79615]"
3776,[170 -02] 37918,N Kenmore Ave And W Diversey Pkwy,2014-2018,N Kenmore Ave And W Diversey Pkwy,,"[41.932642, -87.655146]",
3777,[170 -02] 37918,N Seminary Ave And W Diversey Pkwy,2014-2018,N Seminary Ave And W Diversey Pkwy,,"[41.932628, -87.656279]",
3778,[170 -02] 37918,On W Diversey Pkwy From N Sheffield Ave To N Seminary Ave,2014-2018,W Diversey Pkwy And N Sheffield Ave,W Diversey Pkwy And N Seminary Ave,"[41.93267, -87.653845]","[41.932628, -87.656279]"
3779,[170 -02] 37918,On W Berwyn Ave From N Nordica Ave To N Newland Ave,2014-2018,W Berwyn Ave And N Nordica Ave,W Berwyn Ave And N Newland Ave,"[41.9771064, -87.8023918]","[41.9771587, -87.7997174]"
3780,[170 -02] 37918,On W Barry Ave From N Olcott Ave To N Osceola Ave,2014-2018,W Barry Ave And N Olcott Ave,W Barry Ave And N Osceola Ave,"[41.936209, -87.81398]","[41.936227, -87.812764]"
3781,[170 -02] 37918,On S Kostner Ave From W 51st St To W 52nd St,2014-2018,S Kostner Ave And W 51st St,S Kostner Ave And W 52nd St,"[41.800465, -87.73314]","[41.798634, -87.733069]"
3782,[170 -02] 37918,On N Olcott Ave From W Hortense Ave To W Devon Ave,2014-2018,N Olcott Ave And W Hortense Ave,N Olcott Ave And W Devon Ave,"[41.9964367, -87.813594]","[41.997074, -87.813567]"
3783,[170 -02] 37918,On N Oketo Ave From W Isham Ave To N Avondale Ave,2014-2018,N Oketo Ave And W Isham Ave,N Oketo Ave And N Avondale Ave,"[41.997982, -87.813591]","[41.998678, -87.813093]"
3784,[170 -02] 37918,On N Newcastle Ave From W Grace St To W Byron St,2014-2018,N Newcastle Ave And W Grace St,N Newcastle Ave And W Byron St,"[41.949093, -87.797316]","[41.950912, -87.797387]"
3785,[170 -02] 37918,On W 57th St From S Kedzie Ave To S Spaulding Ave,2014-2018,W 57th St And S Kedzie Ave,W 57th St And S Spaulding Ave,"[41.789905, -87.703442]","[41.7898516, -87.7058869]"
3786,[170 -02] 37918,On W Byron St From N Newcastle Ave To N New England Ave,2014-2018,W Byron St And N Newcastle Ave,W Byron St And N New England Ave,"[41.950912, -87.797387]","[41.95089, -87.798606]"
3787,[170 -02] 37918,On N Nordica Ave From W Berwyn Ave To W Farragut Ave,2014-2018,N Nordica Ave And W Berwyn Ave,N Nordica Ave And W Farragut Ave,"[41.9771064, -87.8023918]","[41.9763358, -87.802417]"
3788,[170 -02] 37918,On N Olcott Ave From W Belmont Ave To W Barry Ave,2014-2018,N Olcott Ave And W Belmont Ave,N Olcott Ave And W Barry Ave,"[41.937977, -87.814048]","[41.936209, -87.81398]"
3789,[170 -02] 37918,On N Olcott Ave From W Palatine Ave To W Hortense Ave,2014-2018,N Olcott Ave And W Palatine Ave,N Olcott Ave And W Hortense Ave,"[41.9954616, -87.8136394]","[41.9964367, -87.813594]"
3790,[170 -02] 37918,On W 51st St From S Kilbourn Ave To S Kostner Ave,2014-2018,W 51st St And S Kilbourn Ave,W 51st St And S Kostner Ave,"[41.8004282, -87.7355934]","[41.800465, -87.73314]"
3791,[170 -02] 37918,On W 57th St From S Spaulding Ave To S Homan Ave,2014-2018,W 57th St And S Spaulding Ave,W 57th St And S Homan Ave,"[41.7898516, -87.7058869]","[41.7897916, -87.7083438]"
3792,[170 -02] 37918,On W Barry Ave From N Oleander Ave To N Oriole Ave,2014-2018,W Barry Ave And N Oleander Ave,W Barry Ave And N Oriole Ave,"[41.93618, -87.815211]","[41.936138, -87.816424]"
3793,[170 -02] 37918,On W Glenlake Ave From N Keystone Ave To N Pulaski Rd,2014-2018,W Glenlake Ave And N Keystone Ave,W Glenlake Ave And N Pulaski Rd,"[41.991817, -87.730092]","[41.9919118, -87.7288764]"
3794,[170 -02] 37933,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,2014-2018,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave,"[41.9688297, -87.6762187]","[42.0193747, -87.6776559500011]"
3795,[170 -02] 37933,On N Wolcott Ave From W Winnemac Ave To W Balmoral Ave,2014-2018,N Wolcott Ave And W Winnemac Ave,N Wolcott Ave And W Balmoral Ave,"[42.0193747, -87.6776559500011]","[41.979728, -87.676518]"
3796,[170 -02] 37933,On W Foster Ave From N Wolcott Ave To N Ravenswood Ave,2014-2018,W Foster Ave And N Wolcott Ave,W Foster Ave And N Ravenswood Ave,"[41.9760901, -87.6764218]","[41.9761161, -87.6743967]"
3797,[170 -02] 38038,On W Bryn Mawr Ave From N Kedzie Ave To N St Louis Ave,2014-2018,W Bryn Mawr Ave And N Kedzie Ave,W Bryn Mawr Ave And N St Louis Ave,"[41.983062, -87.708879]","[41.982946, -87.716201]"
3798,[170 -02] 38038,W Bryn Mawr Ave And N Jersey Ave,2014-2018,W Bryn Mawr Ave And N Jersey Ave,,"[41.983062, -87.708879]",
3799,[170 -02] 38039,On W 77th St From S Emerald Ave To S Union Ave,2014-2018,W 77th St And S Emerald Ave,W 77th St And S Union Ave,"[41.754287, -87.642924]","[41.754311, -87.641701]"
3800,[170 -02] 38039,W 76th St And S Halsted St,2014-2018,W 76th St And S Halsted St,,"[41.756095, -87.644186]",
3801,[170 -02] 38039,S Emerald Ave And W 78th St,2014-2018,S Emerald Ave And W 78th St,,"[41.752483, -87.642861]",
3802,[170 -02] 38039,612-800 W 77th St,2014-2018,612 W 77th St,800 W 77th St,"[41.7543707, -87.640058]","[41.754318966060765, -87.64422]"
3803,[170 -02] 38039,S Halsted St And W 76th St,2014-2018,S Halsted St And W 76th St,,"[41.756095, -87.644186]",
3804,[170 -02] 38040,On S Damen Ave From W 18th St To W 17th St,2014-2018,S Damen Ave And W 18th St,S Damen Ave And W 17th St,"[41.857722, -87.676019]","[41.858627, -87.676048]"
3805,[170 -02] 38040,On W 18th St From S Hoyne Ave To S Leavitt St,2014-2018,W 18th St And S Hoyne Ave,W 18th St And S Leavitt St,"[41.8576896, -87.6784551]","[41.857635, -87.6808965]"
3806,[170 -02] 38040,On S Hoyne Ave From W Cermak Rd To W 18th St,2014-2018,S Hoyne Ave And W Cermak Rd,S Hoyne Ave And W 18th St,"[41.85216, -87.6783015]","[41.8576896, -87.6784551]"
3807,[170 -02] 38040,On W 18th St From S Hoyne Ave To S Damen Ave,2014-2018,W 18th St And S Hoyne Ave,W 18th St And S Damen Ave,"[41.8576896, -87.6784551]","[41.857722, -87.676019]"
3808,[170 -02] 38041,On N Neva Ave From W Bryn Mawr Ave To W Talcott Ave,2014-2018,N Neva Ave And W Bryn Mawr Ave,N Neva Ave And W Talcott Ave,"[41.982741, -87.805353]","[41.985043, -87.805246]"
3809,[170 -02] 38041,N Harlem Ave And W Talcott Ave,2014-2018,N Harlem Ave And W Talcott Ave,,"[41.985822, -87.806927]",
3810,[170 -02] 38041,On W Talcott Ave From N Neva Ave To N Ozanam Ave,2014-2018,W Talcott Ave And N Neva Ave,W Talcott Ave And N Ozanam Ave,"[41.985043, -87.805246]","[41.99274, -87.820869]"
3811,[170 -02] 38041,On W Talcott Ave From N Overhill Ave To N Oriole Ave,2014-2018,W Talcott Ave And N Overhill Ave,W Talcott Ave And N Oriole Ave,"[41.991881500000005, -87.81916899999999]","[41.990648, -87.816748]"
3812,[170 -02] 38042,On S Austin Ave From W 59th St To W 63rd St,2014-2018,S Austin Ave And W 59th St,S Austin Ave And W 63rd St,"[41.7852006, -87.7717542]","[41.777902, -87.771484]"
3813,[170 -02] 38043,On S Halsted St From W 31st St To W 32nd St,2014-2018,S Halsted St And W 31st St,S Halsted St And W 32nd St,"[41.838071, -87.646276]","[41.8364651, -87.6462324]"
3814,[170 -02] 38043,On W 32nd St From S Racine Ave To S May St,2014-2018,W 32nd St And S Racine Ave,W 32nd St And S May St,"[41.836101, -87.655969]","[41.836113, -87.654739]"
3815,[170 -02] 38043,S Carpenter St And W 32nd Pl,2014-2018,S Carpenter St And W 32nd Pl,,"[41.8352477, -87.6522777]",
3816,[170 -02] 38043,On S Morgan St From W 32nd Pl To W 33rd Pl,2014-2018,S Morgan St And W 32nd Pl,S Morgan St And W 33rd Pl,"[41.835617, -87.651086]","[41.833799, -87.651049]"
3817,[170 -02] 38043,On W 33rd Pl From S Morgan St To S Lituanica Ave,2014-2018,W 33rd Pl And S Morgan St,W 33rd Pl And S Lituanica Ave,"[41.833799, -87.651049]","[41.8337974, -87.6485916]"
3818,[170 -02] 38043,S May St And W 34th Pl,2014-2018,S May St And W 34th Pl,,"[41.6627045000034, -87.6503189998302]",
3819,[170 -02] 38043,On W 32nd Pl From S May St To S Morgan St,2014-2018,W 32nd Pl And S May St,W 32nd Pl And S Morgan St,"[41.835205, -87.654716]","[41.835617, -87.651086]"
3820,[170 -02] 38043,S Aberdeen St And W 35th St,2014-2018,S Aberdeen St And W 35th St,,"[41.830681, -87.653393]",
3821,[170 -02] 38043,W 35th St And S Racine Ave,2014-2018,W 35th St And S Racine Ave,,"[41.830648, -87.655722]",
3822,[170 -02] 38044,On W 46th St From S Rockwell St To S Fairfield Ave,2014-2018,W 46th St And S Rockwell St,W 46th St And S Fairfield Ave,"[41.810209, -87.689361]","[41.810121, -87.693044]"
3823,[170 -02] 38044,On W 47th St From S Kedzie Ave To S Whipple St,2014-2018,W 47th St And S Kedzie Ave,W 47th St And S Whipple St,"[41.808134, -87.703972]","[41.808213, -87.700308]"
3824,[170 -02] 38044,On W 47th St From S Whipple St To S Richmond St,2014-2018,W 47th St And S Whipple St,W 47th St And S Richmond St,"[41.808213, -87.700308]","[41.808252, -87.697862]"
3825,[170 -02] 38046,On E 107th St From S Langley Ave To S Champlain Ave,2014-2018,E 107th St And S Langley Ave,E 107th St And S Champlain Ave,"[41.7001108, -87.6062166]","[41.700091, -87.60737]"
